,Name,Date,Open,High,Low,Close,Adj Close,Volume,5-day Avg,7-day Avg,Signal
65,Fin Nifty,2022-10-06,17830.449219,17900.449219,17730.75,17749.050781,17749.050781,704100.0,17635.7402344,17623.685826,Buy
66,Fin Nifty,2022-10-07,17663.550781,17737.75,17579.099609,17707.0,17707.0,579900.0,17700.9300782,17623.771484428573,
67,Fin Nifty,2022-10-10,17488.550781,17720.599609,17409.800781,17626.5,17626.5,627800.0,17723.1699218,17662.43582585714,
68,Fin Nifty,2022-10-11,17591.5,17675.050781,17414.949219,17455.199219,17455.199219,685800.0,17759.030078,17700.042968714286,
69,Fin Nifty,2022-10-12,17472.650391,17624.449219,17421.650391,17603.849609,17603.849609,746800.0,17731.6597656,17702.192801285713,
70,Fin Nifty,2022-10-13,17520.050781,17552.199219,17316.699219,17389.449219,17389.449219,704900.0,17662.0097656,17710.256975428572,
71,Fin Nifty,2022-10-14,17726.150391,17820.25,17646.150391,17705.5,17705.5,572700.0,17678.5097656,17718.678292428573,Sell
72,Fin Nifty,2022-10-17,17680.75,17929.25,17624.849609,17908.900391,17908.900391,667000.0,17720.239843800002,17722.792689714286,
73,Fin Nifty,2022-10-18,18038.0,18080.050781,17961.050781,18021.300781,18021.300781,793000.0,17801.239843800002,17771.692801285713,Buy
74,Fin Nifty,2022-10-19,18163.25,18227.050781,18030.5,18093.75,18093.75,624000.0,17921.760156199998,17844.042968714286,
75,Fin Nifty,2022-10-20,17980.949219,18086.5,17912.25,18057.25,18057.25,608300.0,18028.6203124,17902.821428571428,
76,Fin Nifty,2022-10-21,18154.849609,18300.849609,18115.050781,18194.099609,18194.099609,1288800.0,18124.7402342,17999.450055714286,
77,Fin Nifty,2022-10-24,18442.5,18476.699219,18393.949219,18424.75,18424.75,177200.0,18234.230078,18131.521484285713,
78,Fin Nifty,2022-10-25,18504.050781,18515.449219,18245.099609,18280.900391,18280.900391,931100.0,18321.3097656,18230.835658428572,
79,Fin Nifty,2022-10-27,18441.400391,18456.400391,18281.050781,18334.050781,18334.050781,1082900.0,18367.1796876,18306.14285714286,
80,Fin Nifty,2022-10-28,18313.650391,18450.75,18218.599609,18284.300781,18284.300781,888700.0,18440.0296876,18359.099888428573,
81,Fin Nifty,2022-10-31,18416.650391,18554.5,18385.150391,18538.300781,18538.300781,786000.0,18490.7597658,18405.878348285714,
82,Fin Nifty,2022-11-01,18641.949219,18734.550781,18558.199219,18606.400391,18606.400391,966500.0,18542.3300782,18498.457031285714,
83,Fin Nifty,2022-11-02,18670.0,18687.400391,18542.150391,18577.150391,18577.150391,669100.0,18576.720312600002,18553.67857157143,
84,Fin Nifty,2022-11-03,18439.0,18654.150391,18434.150391,18582.25,18582.25,760000.0,18616.2703126,18579.028739,
85,Fin Nifty,2022-11-04,18568.699219,18692.449219,18515.25,18599.699219,18599.699219,818400.0,18664.6101564,18604.314453285715,
86,Fin Nifty,2022-11-07,18751.550781,18767.900391,18580.75,18739.25,18739.25,1089000.0,18707.290234599997,18648.814453285715,
87,Fin Nifty,2022-11-09,18804.099609,18823.5,18646.099609,18689.349609,18689.349609,728200.0,18725.0800784,18702.064453285715,
88,Fin Nifty,2022-11-10,18566.599609,18636.099609,18493.25,18604.599609,18604.599609,860000.0,18714.819922,18713.721540285715,
89,Fin Nifty,2022-11-11,18853.900391,19117.699219,18795.949219,19007.900391,19007.900391,1421500.0,18807.5296876,18768.457031428574,
90,Fin Nifty,2022-11-14,19028.900391,19062.0,18920.25,18970.849609,18970.849609,667300.0,18881.4398438,18821.97126128571,
91,Fin Nifty,2022-11-15,19032.75,19118.400391,18946.449219,19083.599609,19083.599609,646200.0,18951.5398438,18888.29268985714,
92,Fin Nifty,2022-11-16,19054.0,19192.550781,19013.699219,19148.349609,19148.349609,731300.0,19025.35,18959.73577014286,
93,Fin Nifty,2022-11-17,19079.099609,19193.400391,19043.800781,19077.0,19077.0,754300.0,19136.810156400003,19020.521484428573,
94,Fin Nifty,2022-11-18,19112.449219,19134.349609,18971.099609,19070.949219,19070.949219,791600.0,19140.1402344,19064.928571428572,
95,Fin Nifty,2022-11-21,18993.900391,19024.400391,18902.599609,18949.599609,18949.599609,580400.0,19132.6203126,19120.400111714287,
96,Fin Nifty,2022-11-22,18987.699219,19000.400391,18940.199219,18973.199219,18973.199219,611900.0,19109.0203126,19103.643136285715,
97,Fin Nifty,2022-11-23,19069.900391,19128.099609,19019.75,19069.099609,19069.099609,713800.0,19096.1300782,19113.085937571428,Sell
98,Fin Nifty,2022-11-24,19124.699219,19318.550781,19096.800781,19277.0,19277.0,944000.0,19121.1601562,19141.678850428572,
99,Fin Nifty,2022-11-25,19324.900391,19340.949219,19165.25,19216.900391,19216.900391,1151000.0,19162.480078200002,19162.878627285714,
100,Fin Nifty,2022-11-28,19096.449219,19257.599609,19091.949219,19200.199219,19200.199219,1009300.0,19209.1199218,19172.04994414286,Buy
101,Fin Nifty,2022-11-29,19176.449219,19320.0,19176.449219,19231.449219,19231.449219,734200.0,19273.0398436,19198.571428571428,
102,Fin Nifty,2022-11-30,19266.699219,19407.699219,19197.550781,19358.849609,19358.849609,1035600.0,19328.9597656,19253.328404,
103,Fin Nifty,2022-12-01,19480.650391,19483.050781,19307.099609,19369.050781,19369.050781,893100.0,19361.8597656,19322.278459714285,
104,Fin Nifty,2022-12-02,19232.300781,19292.550781,19193.0,19249.550781,19249.550781,646900.0,19352.180077999998,19345.771484285713,
105,Fin Nifty,2022-12-05,19300.400391,19319.349609,19165.150391,19297.300781,19297.300781,729100.0,19364.530078,19345.885602571427,
106,Fin Nifty,2022-12-06,19174.300781,19256.949219,19174.300781,19242.300781,19242.300781,732500.0,19351.9199218,19333.885602571427,
107,Fin Nifty,2022-12-07,19247.199219,19303.300781,19139.449219,19180.449219,19180.449219,920000.0,19331.040234199998,19340.41434142857,
108,Fin Nifty,2022-12-08,19185.150391,19312.699219,19156.550781,19292.400391,19292.400391,972900.0,19296.9699218,19339.371372714286,Sell
109,Fin Nifty,2022-12-09,19362.400391,19367.849609,19200.199219,19290.349609,19290.349609,745600.0,19312.029687399998,19333.678571285713,
110,Fin Nifty,2022-12-12,19191.550781,19357.349609,19148.699219,19313.800781,19313.800781,693600.0,19319.629687400004,19315.721261,Buy
111,Fin Nifty,2022-12-13,19346.25,19429.949219,19336.449219,19409.849609,19409.849609,731000.0,19354.2296874,19335.349609285713,
112,Fin Nifty,2022-12-14,19465.900391,19515.900391,19433.599609,19466.0,19466.0,784200.0,19396.7496094,19363.428292428573,
113,Fin Nifty,2022-12-15,19421.150391,19477.199219,19171.099609,19216.0,19216.0,732100.0,19429.6496094,19394.89257814286,
114,Fin Nifty,2022-12-16,19106.0,19220.349609,19030.75,19111.949219,19111.949219,711100.0,19400.1496094,19383.042410714286,
115,Fin Nifty,2022-12-19,19153.5,19295.900391,19100.199219,19277.699219,19277.699219,515500.0,19387.8597658,19380.64257814286,
116,Fin Nifty,2022-12-20,19149.5,19245.949219,19068.150391,19222.300781,19222.300781,529800.0,19351.0597658,19363.228236714287,
117,Fin Nifty,2022-12-21,19283.400391,19329.0,18839.0,18925.199219,18925.199219,693400.0,19313.6796876,19359.178292571425,Sell
118,Fin Nifty,2022-12-22,19026.150391,19053.75,18787.150391,18858.599609,18858.599609,773600.0,19228.989843800002,19305.435546999997,
119,Fin Nifty,2022-12-23,18675.699219,18779.25,18571.949219,18595.599609,18595.599609,820600.0,19140.769922,19200.199776857142,
120,Fin Nifty,2022-12-26,,,,,,,,,
121,Fin Nifty,2022-12-27,19002.050781,19036.849609,18838.300781,19011.199219,19011.199219,474700.0,,,
122,Fin Nifty,2022-12-28,18956.300781,19042.599609,18940.550781,18982.849609,18982.849609,520000.0,,,
123,Fin Nifty,2022-12-29,18903.150391,19179.150391,18796.949219,19090.599609,19090.599609,853900.0,,,
124,Fin Nifty,2022-12-30,19161.949219,19166.699219,18922.300781,18981.199219,18981.199219,725500.0,,,
125,Fin Nifty,2023-01-02,18982.5,19123.5,18937.150391,19074.449219,19074.449219,610114100.0,19109.7597656,,
126,Fin Nifty,2023-01-03,19041.550781,19219.550781,19041.550781,19196.050781,19196.050781,1117600.0,19146.3,,
127,Fin Nifty,2023-01-04,19172.599609,19257.050781,18966.75,19007.0,19007.0,858400.0,19189.1902344,19146.48577,Buy
128,Fin Nifty,2023-01-05,19042.150391,19045.199219,18670.150391,18782.199219,18782.199219,896500.0,19162.4,19147.678571428572,
129,Fin Nifty,2023-01-06,18808.650391,18816.449219,18500.099609,18603.75,18603.75,1013300.0,19092.35,19115.371372857142,
130,Fin Nifty,2023-01-09,18687.599609,18805.099609,18608.050781,18731.550781,18731.550781,914100.0,19028.6699218,19061.93554685714,
131,Fin Nifty,2023-01-10,18758.199219,18771.599609,18412.400391,18474.050781,18474.050781,800500.0,18939.0796874,19005.49274542857,
132,Fin Nifty,2023-01-11,18485.800781,18608.949219,18347.300781,18566.599609,18566.599609,739100.0,18809.459375,18931.985491,
133,Fin Nifty,2023-01-12,18571.099609,18632.349609,18411.550781,18540.050781,18540.050781,771900.0,18726.889453,18848.099609285713,
134,Fin Nifty,2023-01-13,18567.150391,18682.449219,18453.900391,18646.199219,18646.199219,762500.0,18700.089453,18766.01367185714,
135,Fin Nifty,2023-01-16,18763.099609,18794.849609,18461.050781,18506.25,18506.25,684700.0,18698.039452999998,18730.24944185714,Sell
136,Fin Nifty,2023-01-17,18531.199219,18632.449219,18447.199219,18604.25,18604.25,742200.0,18670.209375,18703.963727571427,
137,Fin Nifty,2023-01-18,18617.099609,18785.199219,18560.099609,18753.5,18753.5,783300.0,18705.459375,18701.120814714286,Buy
138,Fin Nifty,2023-01-19,18740.150391,18797.0,18685.0,18739.699219,18739.699219,587100.0,18738.3894532,18704.749442,
139,Fin Nifty,2023-01-20,18799.75,18873.0,18751.699219,18772.400391,18772.400391,694600.0,18776.4996094,18742.47098214286,
140,Fin Nifty,2023-01-23,18897.300781,18961.849609,18843.349609,18887.5,18887.5,695300.0,18809.8996094,18789.542410714286,
